people_ID,20-Mar-20,,,,
5942,53.02528747,,,,
18664,51.055894,,,,
5603,52.77256357,,,,
5649,53.27480845,,,,
5099,49.82273256,,,,
18749,53.64735853,,,,
5228,52.5736364,,,,
5559,51.96413707,,,,
5220,56.76537918,,,,
5476,51.45467861,,,,
5260,54.0919199,,,,
17638,53.11040414,,,,
18635,54.02155323,,,,
18794,58.60913333,,,,
5263,52.66696841,,,,
17680,62.13075764,,,,
18030,53.31896606,,,,
18090,53.54246733,,,,
18455,45.65632214,,,,
18155,50.90089469,,,,
18116,62.0384312,,,,
18144,53.8834687,,,,
5218,66.44937082,,,,
5386,56.63198514,,,,
18105,58.56052715,,,,
5735,54.65820042,,,,
5900,49.3302216,,,,
18391,48.24877425,,,,
5786,51.49250128,,,,
18639,48.86989712,,,,
17984,55.28968707,,,,
18274,54.5560342,,,,
5425,48.14725523,,,,
6076,52.78230662,,,,
18545,53.31215342,,,,
17697,56.49614376,,,,
6137,52.12655534,,,,
6083,50.08761782,,,,
17730,55.87292888,,,,
5896,56.08287241,,,,
18906,52.44808078,,,,
17808,53.98161216,,,,
6078,53.86889397,,,,
5516,56.23956484,,,,
18093,51.09675961,,,,
6120,54.26926447,,,,
18154,45.42831139,,,,
17935,52.49969106,,,,
18769,66.53164251,,,,
18264,50.94335678,,,,
18076,52.43424694,,,,
18035,47.91338625,,,,
18051,50.66814843,,,,
18676,47.645938,,,,
5332,46.81268206,,,,
5898,62.52682253,,,,
18370,48.37734271,,,,
17706,50.79481901,,,,
5198,51.5203774,,,,
18360,50.9248356,,,,
18240,47.29679781,,,,
18691,49.64021606,,,,
5768,51.91583509,,,,
18315,51.77708291,,,,
18776,56.96026696,,,,
6225,49.99526959,,,,
17983,54.73268422,,,,
17973,57.55913068,,,,
5805,57.10748712,,,,
5500,54.49416493,,,,
5305,51.77287807,,,,
18243,53.24518472,,,,
5169,50.26628739,,,,
5258,48.50571324,,,,
17810,66.43038698,,,,
5714,51.5407092,,,,
6070,55.47244596,,,,
5959,64.3971179,,,,
18771,53.44080272,,,,
17765,53.13989563,,,,
18822,52.41225393,,,,
17735,71.7649971,,,,
17966,58.18768362,,,,
18861,53.24884919,,,,
18236,49.49465723,,,,
18750,72.82390874,,,,
17809,57.92740237,,,,
6049,45.73736239,,,,
18465,49.81294453,,,,
6201,52.15376295,,,,
18877,51.07552417,,,,
5087,49.86504112,,,,
17742,54.53798877,,,,
17941,62.8533041,,,,
18421,49.8362144,,,,
18489,51.57637925,,,,
6299,61.69813213,,,,
18428,50.31079051,,,,
5563,57.26184161,,,,
18796,52.34289201,,,,
5849,53.89234844,,,,
5661,47.30402065,,,,
5893,54.3560203,,,,
5378,61.81928704,,,,
5622,52.60447654,,,,
5823,51.56739607,,,,
18521,54.0292741,,,,
5502,55.8179709,,,,
18785,52.59588561,,,,
17783,49.57755183,,,,
18424,57.67286519,,,,
18147,52.28337473,,,,
18881,55.24671963,,,,
18851,49.64142525,,,,
17686,55.96398002,,,,
5100,48.68818089,,,,
5213,50.52658736,,,,
18252,53.98167706,,,,
5576,56.13041125,,,,
18050,55.42252673,,,,
5875,50.94537961,,,,
6059,49.4616622,,,,
18599,53.55160711,,,,
5173,46.99940576,,,,
5461,54.98272443,,,,
5151,62.09316642,,,,
5266,52.08962452,,,,
5514,60.70649192,,,,
5224,51.719132,,,,
18069,49.52304226,,,,
5587,51.56921238,,,,
17874,46.72218957,,,,
5536,52.72991997,,,,
5215,47.6941619,,,,
5400,68.60404543,,,,
17857,55.02043379,,,,
6043,60.55325652,,,,
18330,46.52070339,,,,
18333,52.9161155,,,,
17788,48.38550236,,,,
18332,66.90357836,,,,
17836,51.72863205,,,,
5247,51.95859596,,,,
5922,54.67052634,,,,
18641,58.58121567,,,,
5951,63.60379503,,,,
18807,53.47606728,,,,
18293,58.9148841,,,,
18775,50.17525182,,,,
5601,51.61895923,,,,
5102,50.98472686,,,,
18464,50.91748442,,,,
17713,50.39009956,,,,
18557,53.33364948,,,,
18854,51.91151488,,,,
18401,54.03755591,,,,
18699,58.92130805,,,,
5706,59.71645038,,,,
5747,50.95153416,,,,
5496,49.15788019,,,,
18308,56.13586916,,,,
5345,49.46049625,,,,
18525,50.89110723,,,,
18258,56.48290309,,,,
6062,46.81894243,,,,
17921,51.91971529,,,,
5303,48.320296,,,,
18592,49.76123046,,,,
5814,53.23899371,,,,
18805,48.40977871,,,,
5910,52.43647836,,,,
5201,54.13522829,,,,
5724,70.10030368,,,,
17693,54.64956722,,,,
5407,54.28252,,,,
18617,48.28837169,,,,
18173,47.27608043,,,,
18875,52.07270648,,,,
5225,51.50008561,,,,
5858,55.96588868,,,,
5091,49.25766874,,,,
5254,52.17762746,,,,
18801,49.5648343,,,,
6009,53.46339041,,,,
18149,49.43675974,,,,
6105,48.76832614,,,,
5974,55.64995014,,,,
17967,58.54437959,,,,
5781,49.79145393,,,,
5834,52.36221693,,,,
17683,54.20004515,,,,
5338,44.75714324,,,,
18400,58.27578036,,,,
18633,50.42351409,,,,
6162,52.29308382,,,,
18598,52.38070543,,,,
5212,53.2610032,,,,
18731,52.41617679,,,,
18177,51.18159619,,,,
5232,62.63393968,,,,
5753,53.32244494,,,,
5118,49.03162331,,,,
18055,63.11404755,,,,
18151,58.34966968,,,,
5572,49.54002787,,,,
18502,53.70014593,,,,
18178,54.55474771,,,,
6276,49.40357916,,,,
5226,62.92429215,,,,
18411,54.78733674,,,,
6134,50.12668389,,,,
5177,54.484242,,,,
18031,51.68240189,,,,
17853,55.86986553,,,,
6171,53.21784646,,,,
5725,60.90462955,,,,
6282,52.94171044,,,,
18762,49.21553243,,,,
17909,47.41120545,,,,
18357,52.75779225,,,,
5981,53.67629653,,,,
